file_path,scenario_id,prompt_name,run_id,model_name,repeat_idx,image_path,task_text,inference_time_sec,json_parse_ok,error,plan_correctness,notes
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r2.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,2,,Pick up the darker box.,6.425602397999683,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r3.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,3,,Pick up the darker box.,6.488729173999673,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r4.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,4,,Pick up the darker box.,5.528833035999924,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r5.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,5,,Pick up the darker box.,5.593431601999328,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r6.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,6,,Pick up the darker box.,5.958185424000476,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r7.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,7,,Pick up the darker box.,6.15413081099905,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r8.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,8,,Pick up the darker box.,6.2537185109995335,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r9.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,9,,Pick up the darker box.,6.327211792000526,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/gpt-5.2/sb_only_graph__gpt-5.2__graph_sides__no_image__r10.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,10,,Pick up the darker box.,5.765152968000621,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/o3/sb_only_graph__o3__graph_sides__no_image__r1.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,1,,Pick up the darker box.,20.92467482400025,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/o3/sb_only_graph__o3__graph_sides__no_image__r2.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,2,,Pick up the darker box.,15.362475271998846,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/o3/sb_only_graph__o3__graph_sides__no_image__r3.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,3,,Pick up the darker box.,22.694753290001245,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/o3/sb_only_graph__o3__graph_sides__no_image__r4.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,4,,Pick up the darker box.,19.878891582000502,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/o3/sb_only_graph__o3__graph_sides__no_image__r5.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,5,,Pick up the darker box.,14.745995810999377,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/o3/sb_only_graph__o3__graph_sides__no_image__r6.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,6,,Pick up the darker box.,23.0760326719992,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/o3/sb_only_graph__o3__graph_sides__no_image__r7.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,7,,Pick up the darker box.,15.326386028000345,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/o3/sb_only_graph__o3__graph_sides__no_image__r8.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,8,,Pick up the darker box.,15.531848660000833,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/o3/sb_only_graph__o3__graph_sides__no_image__r9.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,9,,Pick up the darker box.,11.66688681999949,True,,1.0,
sb_only_graph/graph_sides/2026-03-16_13-10-15/o3/sb_only_graph__o3__graph_sides__no_image__r10.json,sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,10,,Pick up the darker box.,15.577662608999162,True,,1.0,
